iter	RMSE
0	14.30925797
1	13.39727543
2	12.53658393
3	11.76785756
4	11.07935878
5	10.52860336
6	9.990407623
7	9.526879229
8	9.099932812
9	8.671141863
10	8.290335601
11	7.961045905
12	7.708624327
13	7.47912009
14	7.238134634
15	7.014901015
16	6.828470782
17	6.659827135
18	6.510301936
19	6.391854837
20	6.276953271
21	6.173403171
22	6.066647573
23	5.974831112
24	5.892819488
25	5.826157382
26	5.755069198
27	5.707579609
28	5.661099294
29	5.61117945
30	5.562299365
31	5.518751785
32	5.478317806
33	5.440963095
34	5.401242434
35	5.369622429
36	5.342522466
37	5.319951248
38	5.295258149
39	5.267121409
40	5.254015903
41	5.239150872
42	5.220348349
43	5.205263652
44	5.189816237
45	5.166857008
46	5.142464703
47	5.121919189
48	5.100901108
49	5.08328846
50	5.068714751
51	5.059163278
52	5.047880154
53	5.034289407
54	5.02119686
55	5.009914679
56	4.999133146
57	4.988917561
58	4.977569647
59	4.967710979
60	4.960637206
61	4.954445455
62	4.947168364
63	4.936520427
64	4.928691743
65	4.915941967
66	4.90015456
67	4.886470148
68	4.878991192
69	4.87033621
70	4.858665933
71	4.842306297
72	4.836205868
73	4.825276788
74	4.812197008
75	4.803230617
76	4.791121439
77	4.783880248
78	4.778617277
79	4.767304919
80	4.762937837
81	4.751386156
82	4.743171309
83	4.736992096
84	4.723057034
85	4.706681229
86	4.699847911
87	4.6958171
88	4.686006102
89	4.67813485
90	4.674716691
91	4.673311379
92	4.660759791
93	4.653620682
94	4.645369078
95	4.641881661
96	4.630562766
97	4.620524357
98	4.616953982
99	4.606212656
