iter	Passed	Remaining
0	1	169
1	3	156
2	4	147
3	5	140
4	7	137
5	8	134
6	9	131
7	11	129
8	12	127
9	13	125
10	15	123
11	16	122
12	17	120
13	19	118
14	20	116
15	21	115
16	23	113
17	24	112
18	25	110
19	27	109
20	28	107
21	29	106
22	31	104
23	32	102
24	33	101
25	35	99
26	36	98
27	37	96
28	39	95
29	40	94
30	41	92
31	43	91
32	44	90
33	45	88
34	47	87
35	48	85
36	49	84
37	50	83
38	52	81
39	53	80
40	55	79
41	56	77
42	57	76
43	58	75
44	60	73
45	61	72
46	62	70
47	64	69
48	65	68
49	67	67
50	68	65
51	70	64
52	71	63
53	73	62
54	74	60
55	75	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	83	51
62	84	49
63	86	48
64	87	47
65	88	45
66	90	44
67	91	43
68	93	41
69	94	40
70	95	39
71	96	37
72	98	36
73	99	35
74	100	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	126	8
94	127	6
95	128	5
96	130	4
97	131	2
98	133	1
99	134	0
